Track_ID;Name;Album;Artist;Album_Artist;Genre;Year;Date_Added;Group;Play_Count
T1701;Habit [T-Mass Remix];Habit [Remix];Rain Man & Krysta Youngs;Rain Man & Krysta Youngs;Electronic >> Future Bass;2016;02/01/2017 13:56;DIM MAK;32
T1702;Good Life [Extended Mix];Good Life;Oliver Heldens (feat. Ida Corr);Oliver Heldens;House > Future House / Future Bounce;2016;05/01/2017 11:40;HELDEEP;35
T1703;Break The House Down [Hardwell Edit];Break The House Down [Remix];Kill The Buzz;Kill The Buzz;House >> Big Room;2017;06/01/2017 13:43;REVEALED;13
T1704;What We Started [Don Diablo's VIP Mix];What We Started [VIP];Steve Aoki & Don Diablo × Lush & Simon (feat. BullySongs);Steve Aoki, Don Diablo & Lush & Simon;Electronic > Drum & Bass;2016;06/01/2017 13:43;HEXAGON / SPINNIN';26
T1705;How Does It Feel;How Does It Feel [Single];Hex Cougar;Hex Cougar;Electronic > Trap;2016;07/01/2017 11:33;-;33
T1706;Levels [Original Mix];Levels [Single];Sam Ourt;Sam Ourt;House > Future House / Future Bounce;2017;09/01/2017 22:00;VANTAGE;17
T1707;I Would Like [Culture Code Remix];I Would Like [Remixes];Zara Larsson;Zara Larsson;House > Future House / Future Bounce;2017;10/01/2017 08:55;-;16
T1708;The Space;Friction;James Egbert;James Egbert;House > Electro House;2016;11/01/2017 15:06;FUZION MUZIK;18
T1709;Burn The City Down [ST4RBUCK Remix];Burn The City Down [Remix];Urbanstep & Micah Martin;Urbanstep & Micah Martin;Electronic > Dubstep / Brostep;2017;11/01/2017 15:06;URBAN STARS;22
T1710;Switch [Extended Mix];Switch [Single];Don Diablo;Don Diablo;House > Future House / Future Bounce;2017;13/01/2017 10:01;HEXAGON;35
T1711;In The Name Of Love [Midas Remix];In The Name Of Love;Martin Garrix & Bebe Rexha;Martin Garrix & Bebe Rexha;Electronic >> Kawaii Future Bass;2017;13/01/2017 10:55;TRAP CORDS;8
T1712;Ping Pong The Night [Hardwell Mashup | Timmy Turner Edit];EDM Mashup Compilation;Armin van Buuren V/S Hardwell & W&W (feat. Mightyfools, Zedd & Foxes) | Timmy Turner;Various Artist;House / Mashup;2016;13/01/2017 10:55;-;7
T1713;Wildwood [Extended Mix];Wildwood [Single];LoaX & Jayden Jaxx;LoaX & Jayden Jaxx;House > Electro House;2016;13/01/2017 11:30;FONK;19
T1714;F#cking Wild [Extended Mix];F#cking Wild [Single];Audiotricz;Audiotricz;House >> Hard Style;2017;14/01/2017 12:47;REVEALED;12
T1715;Karma [Ravitez Edit];Karma [Remix];Dirty Ducks & Charlie Ray;Dirty Ducks & Charlie Ray;House > Electro House;2017;14/01/2017 12:47;WALL;8
T1716;Dream Bigger [Garmiani Remix];Dream Bigger [Remix];Axwell Λ Ingrosso;Axwell Λ Ingrosso;House >> Big Room;2017;16/01/2017 21:54;-;18
T1717;Rift [Extended Mix];Rift [Single];Dazepark;Dazepark;House > Electro House;2017;16/01/2017 21:54;FONK;8
T1718;Chatterbox [Extended Mix];Chatterbox [Single];Fox Stevenson & Mesto;Fox Stevenson & Mesto;House > Future House / Future Bounce;2017;16/01/2017 21:54;SPINNIN';8
T1719;Make War;Make War [Single];From First To Last;From First To Last;Rock > Metal;2017;16/01/2017 21:54;OWSLA (SUMERIAN);20
T1720;Jellyfish [Original Mix];Jellyfish [Single];Proxic & Max Fail;Proxic & Max Fail;House > Future House / Future Bounce;2016;16/01/2017 21:54;SICK & SOUND;14
T1721;Otherside [Extended Mix];Otherside [Single];Suyano & RIVERO;Suyano & RIVERO;House > Progressive House;2017;16/01/2017 21:54;REVEALED;9
T1722;You [Extended Mix];You [Single];Galantis;Galantis;House > Progressive House;2014;16/01/2017 22:10;BIG BEAT;17
T1723;Noise [Extended Mix];Noise [Single];Dannic & DBSTF;Dannic & DBSTF;House >> Big Room;2017;21/01/2017 17:13;MAXXIMIZE;20
T1724;Rewind Numb [ANDY & FILIPE SILVEIRA Mashup];EDM Mashup Compilation;Suyano V/S Linkin Park | ANDY & FILIPE SILVEIRA;Various Artist;House / Mashup;2016;21/01/2017 17:13;-;21
T1725;Try Again [Original Mix];Try Again [Single];Rendo;Rendo;House > Future House / Future Bounce;2016;21/01/2017 17:13;-;18
T1726;Alive [Maidden & Limitless Heaven Trap Remix];Alive [Remix];Steerner & Tobu;Steerner & Tobu;Electronic >> Heaven Trap;2017;27/01/2017 18:35;-;19
T1727;Lone Digger;Lone Digger [Single];Caravan Palace;Caravan Palace;Electronic > Electro Swing;2015;27/01/2017 18:35;CAFE DE LA DANSE;33
T1728;Krew [Original Mix];Krew [Single];Dirty Palm & Trey G (feat. Kendall P);Dirty Palm & Trey G;House >> Melbourne Bounce;2017;27/01/2017 18:35;NIK COOPER;20
T1729;Pyro;Pyro [Single];Dread Pitt;Dread Pitt;Electronic > Trap;2017;27/01/2017 18:35;NCS;24
